product_id,url,domain,category,subcategory,product_name
003411COBURG,https://www.cdiscount.com/bricolage/outillage/black-decker-perceuse-visseuse-sans-fil-18-v-li-io/f-166010101-003411COBURG.html,www.cdiscount.com,bricolage,outillage,black-decker-perceuse-visseuse-sans-fil-18-v-li-io
016642f,https://www.cdiscount.com/maison/meubles-mobilier/essencial-meuble-tv-avec-led-classique-blanc-brill/f-11760010502-016642f.html,www.cdiscount.com,maison,meubles-mobilier,essencial-meuble-tv-avec-led-classique-blanc-brill
0191enfi,https://www.cdiscount.com/maison/meubles-mobilier/buffet-bas-panneaux-de-particules-decor-chene/f-117600902-0191enfi.html,www.cdiscount.com,maison,meubles-mobilier,buffet-bas-panneaux-de-particules-decor-chene
0355e4pt,https://www.cdiscount.com/maison/meubles-mobilier/buffet-enfilade-cesar-decor-chene-beige-grise-et/f-117600902-0355e4pt.html,www.cdiscount.com,maison,meubles-mobilier,buffet-enfilade-cesar-decor-chene-beige-grise-et
0397ense,https://www.cdiscount.com/maison/meubles-mobilier/ensemble-enfilade-table-loft-melamine-decor-ch/f-117600904-0397ense.html,www.cdiscount.com,maison,meubles-mobilier,ensemble-enfilade-table-loft-melamine-decor-ch
0397tabl,https://www.cdiscount.com/maison/meubles-mobilier/table-a-manger-rectangulaire-panneaux-de-parti/f-117600903-0397tabl.html,www.cdiscount.com,maison,meubles-mobilier,table-a-manger-rectangulaire-panneaux-de-parti
03k11743,https://www.cdiscount.com/maison/meubles-mobilier/armoire-2-portes-pour-chaussures-blanc-l61-x-h/f-1176018-03k11743.html,www.cdiscount.com,maison,meubles-mobilier,armoire-2-portes-pour-chaussures-blanc-l61-x-h
03k14743,https://www.cdiscount.com/maison/rangement/suit-dressing-extensible-avec-rideau-4-tiroirs/f-117991619-03k14743.html,www.cdiscount.com,maison,rangement,suit-dressing-extensible-avec-rideau-4-tiroirs
03k5384386,https://www.cdiscount.com/maison/meubles-mobilier/buffet-haut-3-portes-decor-chene-et-blanc-ness/f-117600902-03k5384386.html,www.cdiscount.com,maison,meubles-mobilier,buffet-haut-3-portes-decor-chene-et-blanc-ness
03k5386486,https://www.cdiscount.com/maison/meubles-mobilier/buffet-haut-decor-graphite-et-chene-3-portes/f-117600902-03k5386486.html,www.cdiscount.com,maison,meubles-mobilier,buffet-haut-decor-graphite-et-chene-3-portes
03k5623286,https://www.cdiscount.com/maison/meubles-mobilier/ensemble-meuble-sejour-living-avec-vitrine-led-d/f-11760010502-03k5623286.html,www.cdiscount.com,maison,meubles-mobilier,ensemble-meuble-sejour-living-avec-vitrine-led-d
03k58593,https://www.cdiscount.com/maison/meubles-mobilier/table-ronde-extensible-duna-4-a-6-personnes-de/f-117600903-03k58593.html,www.cdiscount.com,maison,meubles-mobilier,table-ronde-extensible-duna-4-a-6-personnes-de
03kness6,https://www.cdiscount.com/maison/meubles-mobilier/ensemble-meuble-tv-table-basse-buffet-ness-melam/f-117600119-03kness6.html,www.cdiscount.com,maison,meubles-mobilier,ensemble-meuble-tv-table-basse-buffet-ness-melam
03kness6n,https://www.cdiscount.com/maison/meubles-mobilier/ensemble-salon-meuble-tv-155cm-buffet-3-portes-1/f-117600119-03kness6n.html,www.cdiscount.com,maison,meubles-mobilier,ensemble-salon-meuble-tv-155cm-buffet-3-portes-1
03kness8b,https://www.cdiscount.com/maison/meubles-mobilier/ensemble-meuble-tv-table-basse-buffet-ness-melam/f-117600119-03kness8b.html,www.cdiscount.com,maison,meubles-mobilier,ensemble-meuble-tv-table-basse-buffet-ness-melam
03kness9b,https://www.cdiscount.com/maison/meubles-mobilier/ensemble-salon-ness-meuble-tv-table-basse-rele/f-117600119-03kness9b.html,www.cdiscount.com,maison,meubles-mobilier,ensemble-salon-ness-meuble-tv-table-basse-rele
03kness9g,https://www.cdiscount.com/maison/meubles-mobilier/ensemble-salon-ness-meuble-tv-table-basse-rele/f-117600119-03kness9g.html,www.cdiscount.com,maison,meubles-mobilier,ensemble-salon-ness-meuble-tv-table-basse-rele
03knessb,https://www.cdiscount.com/maison/meubles-mobilier/ensemble-meuble-tv-table-basse-buffet-ness-melam/f-117600119-03knessb.html,www.cdiscount.com,maison,meubles-mobilier,ensemble-meuble-tv-table-basse-buffet-ness-melam
06008a6101,https://www.cdiscount.com/jardin/outillage-de-jardin/bosch-tondeuse-a-gazon-electrique-arm-34-1300w/f-1632601-06008a6101.html,www.cdiscount.com,jardin,outillage-de-jardin,bosch-tondeuse-a-gazon-electrique-arm-34-1300w
06008a6201,https://www.cdiscount.com/jardin/outillage-de-jardin/tondeuse-electrique-bosch-arm-37-1400w-37-cm/f-1632601-06008a6201.html,www.cdiscount.com,jardin,outillage-de-jardin,tondeuse-electrique-bosch-arm-37-1400w-37-cm
06008b8001,https://www.cdiscount.com/jardin/outillage-de-jardin/bosch-tronconneuse-sans-fil-universalchain-18-l/f-1632604-06008b8001.html,www.cdiscount.com,jardin,outillage-de-jardin,bosch-tronconneuse-sans-fil-universalchain-18-l
060326a100,https://www.cdiscount.com/bricolage/outillage/defonceuse-bosch-pof-1200-ae-1200w-11-000-2/f-166010307-060326a100.html,www.cdiscount.com,bricolage,outillage,defonceuse-bosch-pof-1200-ae-1200w-11-000-2
060326c800,https://www.cdiscount.com/bricolage/outillage/defonceuse-bosch-pof-1400-ace-1400w-livree-ave/f-166010307-060326c800.html,www.cdiscount.com,bricolage,outillage,defonceuse-bosch-pof-1400-ace-1400w-livree-ave
,https://www.cdiscount.com/maison/cuisson/batteries-de-cuisine/l-1178901.html#_his_,www.cdiscount.com,maison,cuisson,batteries-de-cuisine
0603b05200,https://www.cdiscount.com/bricolage/amenagement-atelier/etabli-de-travail-pliant-pwb-600-bosch-0603b05/f-1660401-0603b05200.html,www.cdiscount.com,bricolage,amenagement-atelier,etabli-de-travail-pliant-pwb-600-bosch-0603b05
0603b07000,https://www.cdiscount.com/bricolage/outillage/perceuse-a-colonne-bosch-pbd-40-710w-livre-dan/f-166010101-0603b07000.html,www.cdiscount.com,bricolage,outillage,perceuse-a-colonne-bosch-pbd-40-710w-livre-dan
10811300,https://www.cdiscount.com/bricolage/nettoyage/aspirateur-injecteur-extracteur-eau-et-poussieres/f-1660206-10811300.html,www.cdiscount.com,bricolage,nettoyage,aspirateur-injecteur-extracteur-eau-et-poussieres
13877,https://www.cdiscount.com/maison/meubles-mobilier/chambre-complete-enfant-lila-lit-bureau-dres/f-1176016-13877.html,www.cdiscount.com,maison,meubles-mobilier,chambre-complete-enfant-lila-lit-bureau-dres
1540lico,https://www.cdiscount.com/maison/meubles-mobilier/odyssee-lit-adulte-140x200-cm-avec-coffre-rele/f-117601503-1540lico.html,www.cdiscount.com,maison,meubles-mobilier,odyssee-lit-adulte-140x200-cm-avec-coffre-rele
155360501,https://www.cdiscount.com/pret-a-porter/bebe-puericulture/chambre-bebe-trio-lit-70-x-140-cm-commode-a-la/f-11317381409-155360501.html,www.cdiscount.com,pret-a-porter,bebe-puericulture,chambre-bebe-trio-lit-70-x-140-cm-commode-a-la
