PRODUCT_ID,DATEJ,TYPE,PRIXMOY,IPMOY,NBNOUVEAUX,CLIENTS,PCTG
0191ENFI,04/03/2024,1P,19999,"91,54160982",0,20,0
0191ENFI,05/03/2024,1P,19999,"91,54160982",0,5,0
0191ENFI,06/03/2024,1P,19999,"91,54160982",0,10,0
0191ENFI,07/03/2024,1P,19999,"91,27617684",0,20,0
0191ENFI,08/03/2024,1P,19999,"91,27617684",0,35,0
0191ENFI,09/03/2024,1P,19999,"91,27617684",0,5,0
0191ENFI,10/03/2024,1P,19999,"91,27617684",0,5,0
0191ENFI,11/03/2024,1P,19999,"91,27617684",0,5,0
0191ENFI,12/03/2024,1P,19999,"91,08380367",0,0,0
0191ENFI,13/03/2024,1P,19999,"91,08380367",0,5,0
0191ENFI,14/03/2024,1P,19999,"91,08380367",0,5,0
0191ENFI,15/03/2024,1P,19999,"91,08380367",0,5,0
0191ENFI,16/03/2024,1P,19999,"90,66277912",0,5,0
0191ENFI,17/03/2024,1P,20499,"92,79034906",0,5,0
0191ENFI,18/03/2024,1P,20499,"92,85",0,0,0
0191ENFI,19/03/2024,1P,19999,"91,005782",0,0,0
0191ENFI,21/03/2024,1P,19999,"90,83395675",0,10,0
0191ENFI,22/03/2024,1P,19999,"90,90196078",0,5,0
0191ENFI,23/03/2024,1P,19999,"90,96357604",0,10,0
0191ENFI,24/03/2024,1P,19999,"91,02202549",0,5,0
0191ENFI,25/03/2024,1P,19999,"91,08705748",0,10,0
0191ENFI,26/03/2024,1P,19999,"91,14566577",0,0,0
0191ENFI,27/03/2024,1P,19999,"91,21087462",0,15,0
0191ENFI,28/03/2024,1P,19999,"91,27617684",0,5,0
0191ENFI,29/03/2024,1P,19999,"91,27617684",0,10,0
0191ENFI,30/03/2024,1P,21999,"98,4356542",0,5,0
0191ENFI,31/03/2024,1P,21999,"98,4356542",0,10,0
0191ENFI,01/04/2024,1P,21999,"98,4356542",0,10,0
0191ENFI,02/04/2024,1P,21999,"98,4356542",0,15,0
0191ENFI,03/04/2024,1P,21999,"98,4356542",0,10,0
0191ENFI,05/04/2024,1P,21999,"94,6477128",0,20,0
0191ENFI,06/04/2024,1P,21999,"94,6477128",0,0,0
0191ENFI,07/04/2024,1P,21999,"94,6477128",0,0,0
0191ENFI,08/04/2024,1P,21999,"94,6477128",0,0,0
0191ENFI,10/04/2024,1P,21999,"94,6477128",0,0,0
0191ENFI,11/04/2024,1P,21999,"94,6477128",0,0,0
0191ENFI,12/04/2024,1P,21999,"94,6477128",0,5,0
0191ENFI,13/04/2024,1P,21999,"93,13778621",0,0,0
0191ENFI,14/04/2024,1P,21999,"93,13778621",0,0,0
0191ENFI,15/04/2024,1P,21999,"93,13778621",0,0,0
0191ENFI,16/04/2024,1P,21999,"93,14094096",0,5,0
0191ENFI,17/04/2024,1P,21999,"93,13778621",0,0,0
0355E4PT,19/02/2024,1P,32999,,0,0,0
0355E4PT,20/02/2024,1P,34999,,0,0,0
0355E4PT,21/02/2024,1P,34999,,0,0,0
0355E4PT,22/02/2024,1P,34999,,0,0,0
0355E4PT,23/02/2024,1P,34999,,0,0,0
0355E4PT,24/02/2024,1P,34999,,0,0,0
0355E4PT,25/02/2024,1P,34999,,0,0,0
0355E4PT,26/02/2024,1P,34999,,0,0,0
0355E4PT,27/02/2024,1P,34999,,0,0,0
0355E4PT,28/02/2024,1P,35999,"74,67759563",0,0,0
0355E4PT,29/02/2024,1P,35999,"92,96809452",0,0,0
0355E4PT,01/03/2024,1P,34999,"92,74683486",0,0,0
0355E4PT,02/03/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,03/03/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,04/03/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,05/03/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,06/03/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,07/03/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,08/03/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,09/03/2024,1P,34999,"99,99749994",0,5,0
0355E4PT,10/03/2024,1P,35999,"102,4975624",0,0,0
0355E4PT,11/03/2024,1P,35999,"102,4975624",0,0,0
0355E4PT,12/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,13/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,14/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,15/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,16/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,17/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,18/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,19/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,20/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,21/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,22/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,23/03/2024,1P,35999,"99,99756092",0,5,0
0355E4PT,24/03/2024,1P,35999,"99,99756092",0,5,0
0355E4PT,25/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,26/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,27/03/2024,1P,35999,"99,99756092",0,5,0
0355E4PT,28/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,29/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,30/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,31/03/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,01/04/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,02/04/2024,1P,35999,"99,99756092",0,0,0
0355E4PT,03/04/2024,1P,34999,"97,55847704",0,0,0
0355E4PT,04/04/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,05/04/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,06/04/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,07/04/2024,1P,34999,"99,99749994",0,5,0
0355E4PT,08/04/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,09/04/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,10/04/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,11/04/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,12/04/2024,1P,34999,"99,99749994",0,0,0
0355E4PT,13/04/2024,1P,36999,"104,1953011",0,0,0
0355E4PT,14/04/2024,1P,36999,"104,1953011",0,0,0
0355E4PT,15/04/2024,1P,36999,"104,1953011",0,0,0
0355E4PT,16/04/2024,1P,36999,"100,5097523",0,0,0
0355E4PT,17/04/2024,1P,36999,"95,71539268",0,0,0
0397ENSE,17/02/2024,1P,53999,"98,06848404",0,5,0
0397ENSE,18/02/2024,1P,53999,"98,06848404",0,5,0
0397ENSE,19/02/2024,1P,53999,"98,06848404",0,0,0
0397ENSE,20/02/2024,1P,53999,"98,06848404",0,0,0
0397ENSE,21/02/2024,1P,52999,"96,40625",0,0,0
0397ENSE,22/02/2024,1P,52999,"96,40625",0,0,0
0397ENSE,23/02/2024,1P,52999,"96,40625",0,0,0
0397ENSE,24/02/2024,1P,51999,"94,74401596",0,10,0
0397ENSE,25/02/2024,1P,51999,"94,74401596",0,5,0
0397ENSE,26/02/2024,1P,51999,"94,74401596",0,0,0
0397ENSE,27/02/2024,1P,51999,"94,74401596",0,15,0
0397ENSE,28/02/2024,1P,51999,"94,74401596",0,0,0
0397ENSE,29/02/2024,1P,51999,"94,74401596",0,0,0
0397ENSE,01/03/2024,1P,51999,"94,74401596",0,0,0
0397ENSE,02/03/2024,1P,51999,"94,74401596",0,0,0
0397ENSE,03/03/2024,1P,51999,"94,74401596",0,5,0
0397ENSE,04/03/2024,1P,51999,"94,74401596",0,5,0
0397ENSE,05/03/2024,1P,51999,"94,74401596",0,0,0
